Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
S14644100018,09/18/2013,3853,Ram Liquor Mart,3108 WEST CENTRAL PARK AVE #2,DAVENPORT,52804,"3108 WEST CENTRAL PARK AVE #2
DAVENPORT 52804
(41.545421, -90.620282)",82.0,Scott,1081900.0,MISC. AMERICAN CORDIALS & LIQUEURS,322.0,Prestige Wine and Spirits Group,75212,Kinky Blue Mini,6,500,$4.96,$7.44,6,$44.64,3.0,0.79
S24880000024,04/06/2015,3385,Sam's Club 8162 / Cedar Rapids,2605 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402,"2605 BLAIRS FERRY RD NE
CEDAR RAPIDS 52402
(42.034737, -91.679406)",57.0,Linn,1082900.0,MISC. IMPORTED CORDIALS & LIQUEURS,461.0,Campari(skyy),64996,Frangelico Liqueur,12,750,$14.50,$21.75,12,$261.00,9.0,2.38
S23593300006,01/20/2015,4136,Fareway Stores #983 / Grimes,351 GATEWAY DR,GRIMES,50111,"351 GATEWAY DR
GRIMES 50111
(41.686283, -93.779984)",77.0,Polk,1701100.0,DECANTERS & SPECIALTY PACKAGES,421.0,"Sazerac Co., Inc.",40455,Taaka King Cake Vodka,12,750,$4.00,$6.00,36,$216.00,27.0,7.13
S09392600072,12/10/2012,2515,Hy-Vee Food Store #1 / Mason City,2400 4TH ST SW,MASON CITY,50401,"2400 4TH ST SW
MASON CITY 50401
(43.148446, -93.236556)",17.0,Cerro Gordo,1031080.0,VODKA 80 PROOF,297.0,Laird And Company,35918,Five O'clock Vodka,6,1750,$7.20,$10.79,6,$64.74,10.5,2.77
S25925400005,06/01/2015,3488,Bender's Foods,400 S SECOND,BELLEVUE,52031,"400 S SECOND
BELLEVUE 52031
(42.255889, -90.423093)",49.0,Jackson,1012100.0,CANADIAN WHISKIES,260.0,Diageo Americas,11297,Crown Royal Canadian Whisky,12,1000,$18.50,$27.75,12,$333.00,12.0,3.17
S19620000020,06/18/2014,3855,Dyno's Wine and Spirits / Storm Lake,1201 1/2 LAKESHORE DR,STORM LAKE,50588,"1201 1/2 LAKESHORE DR
STORM LAKE 50588
(42.634808, -95.185569)",11.0,Buena Vista,1081600.0,WHISKEY LIQUEUR,85.0,Brown-Forman Corporation,86888,Southern Comfort PET,6,1750,$19.16,$28.74,1,$28.74,1.75,0.46
S17282000124,02/10/2014,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 OAKLAND ROAD NE,CEDAR RAPIDS,52402,"3235 OAKLAND ROAD NE
CEDAR RAPIDS 52402
(42.010972, -91.658105)",57.0,Linn,1081390.0,IMPORTED SCHNAPPS,421.0,"Sazerac Co., Inc.",69656,Dr. Mcgillicuddy's Mentholmint,12,750,$8.67,$13.01,5,$65.05,3.75,0.99
S23208200017,12/27/2014,4249,Fareway Stores #048 / Clarinda,115 ESSIE DAVISON DR,CLARINDA,51632,"115 ESSIE DAVISON DR
CLARINDA 51632
",73.0,Page,1062300.0,FLAVORED RUM,370.0,Pernod Ricard USA/Austin Nichols,42716,Malibu Coconut Rum,12,750,$7.49,$11.24,6,$67.44,4.5,1.19
S06829900004,07/30/2012,4215,New Star Market #1 / Waterloo,9 N ELK RUN RD,WATERLOO,50703,"9 N ELK RUN RD
WATERLOO 50703
(42.498751, -92.25887)",7.0,Black Hawk,1051010.0,AMERICAN GRAPE BRANDIES,205.0,E AND J GALLO WINERY,52580,E & J Vsop Superior Reserve,24,200,$2.02,$3.03,24,$72.72,4.8,1.27
S04900200034,04/04/2012,3825,Shop N Save #2 / E 14th,1372 E 14TH ST,DES MOINES,50316,"1372 E 14TH ST
DES MOINES 50316
(41.604893, -93.600499)",77.0,Polk,1062310.0,SPICED RUM,259.0,Heaven Hill Brands,43026,Admiral Nelson Spiced Rum,12,750,$5.77,$8.66,4,$34.64,3.0,0.79
